Price,Mileage,Model_Year - 1999,EX,EX-L,LX,NEW LISTING,REDUCED,Certified,2WD,AWD
14891,67503,8,0,1,0,0,1,0,1,0
14865,90337,9,0,1,0,0,0,0,1,0
20694,62328,13,0,1,0,0,0,1,1,0
19000,36305,13,0,0,1,0,0,0,1,0
25000,24232,14,0,1,0,0,0,0,1,0
25000,33029,13,0,1,0,0,0,0,1,0
26591,13173,15,0,1,0,0,0,0,1,0
13981,97029,8,0,1,0,1,0,0,1,0
13995,105509,8,1,0,0,1,0,0,1,0
18981,35274,13,0,0,1,1,0,1,1,0
19977,40572,13,1,0,0,0,0,0,1,0
24995,13839,15,0,1,0,0,1,0,1,0
12981,73529,8,0,0,1,0,0,0,1,0
15998,57629,9,1,0,0,1,0,0,1,0
22998,14823,14,1,0,0,1,0,0,1,0
24995,24950,14,0,1,0,1,0,0,1,0
28998,6848,15,0,1,0,1,0,0,1,0
12995,49166,6,1,0,0,0,0,0,0,0
16998,42892,12,0,0,1,1,0,0,1,0
17999,43716,11,0,1,0,0,0,0,1,0
19991,32959,12,0,0,0,0,0,1,1,0
20994,41977,13,0,1,0,0,1,1,1,0
22995,29046,13,0,1,0,0,1,0,1,0
22998,6272,15,0,0,1,0,0,1,1,0
24998,26446,13,0,1,0,0,0,1,0,1
23962,17302,14,1,0,0,1,0,0,0,1
23963,14805,14,1,0,0,1,0,1,0,1
24223,3616,15,1,0,0,1,0,1,0,1
24577,8195,13,0,1,0,1,0,1,1,0
24922,15389,14,0,1,0,1,0,0,1,0
24988,18251,14,0,1,0,1,0,1,1,0
24989,19952,13,0,1,0,1,0,1,1,0
24995,7162,15,0,0,1,1,0,0,1,0
24996,15393,13,0,1,0,1,0,1,1,0
24997,3738,15,1,0,0,1,0,0,0,1
25999,17559,14,0,1,0,1,0,0,0,1
26877,8209,15,0,1,0,1,0,0,1,0
26987,10094,13,0,1,0,1,0,0,0,1
26991,9438,15,0,1,0,1,0,1,1,0
27000,6768,15,0,1,0,1,0,0,1,0
27495,2486,15,0,1,0,1,0,1,1,0
28000,6717,15,0,1,0,1,0,1,0,1
29340,724,16,0,1,0,1,0,1,1,0
4249,142351,3,1,0,0,1,0,0,0,0
5999,179587,3,1,0,0,1,0,0,1,0
6499,146186,3,1,0,0,1,0,0,0,0
9988,117713,5,1,0,0,1,0,0,1,0
9990,128302,5,1,0,0,1,0,0,0,0
9991,102584,6,1,0,0,1,0,0,0,0
11911,119406,7,1,0,0,1,0,0,1,0
12950,93349,7,1,0,0,1,0,0,1,0
12997,86311,9,0,0,1,1,0,0,1,0
14349,62726,11,0,0,1,1,0,0,1,0
14386,94285,9,1,0,0,1,0,0,1,0
14500,101381,8,1,0,0,0,0,0,0,0
14990,99650,9,0,1,0,1,0,0,1,0
15362,70953,9,0,1,0,1,0,0,0,0
15488,74415,10,0,0,1,1,0,0,1,0
15495,80996,9,1,0,0,1,0,0,0,0
15665,54722,12,0,0,1,1,0,0,1,0
16995,56033,11,1,0,0,1,0,0,1,0
17500,56068,12,1,0,0,1,0,0,1,0
18000,48699,12,0,0,0,1,0,0,0,0
18400,35745,13,0,0,1,1,0,0,1,0
18444,43590,13,0,0,1,1,0,0,1,0
18761,42003,13,1,0,0,1,0,0,0,1
18998,34444,13,0,0,1,1,0,1,0,1
19490,46508,12,0,1,0,1,0,0,1,0
19500,37274,13,0,0,1,1,0,0,0,1
19878,36870,13,1,0,0,1,0,0,1,0
19990,67171,10,0,1,0,1,0,0,1,0
19991,44320,12,0,1,0,1,0,0,0,0
19995,49830,12,0,1,0,1,0,0,1,0
20590,37717,13,1,0,0,1,0,0,1,0
20737,38700,13,1,0,0,1,0,1,0,1
20899,30899,13,0,0,1,1,0,0,0,1
21395,34293,13,0,0,1,1,0,1,0,1
21499,32077,13,1,0,0,1,0,0,0,1
21697,30253,13,1,0,0,1,0,0,0,1
21900,28000,14,1,0,0,1,0,0,1,0
21988,14954,15,0,0,1,1,0,0,1,0
22588,32417,13,1,0,0,1,0,0,0,1
22588,28212,14,1,0,0,1,0,0,0,1
22603,35832,13,0,1,0,1,0,0,1,0
22885,25937,14,1,0,0,1,0,1,1,0
23294,37949,13,0,1,0,1,0,0,1,0
23455,41334,13,0,1,0,1,0,0,1,0
23900,37315,13,0,1,0,1,0,0,1,0
23967,44211,13,0,1,0,1,0,0,1,0
23981,25744,14,0,1,0,1,0,1,0,1
23995,40004,12,0,1,0,1,0,0,0,0
24262,27867,14,0,1,0,1,0,1,0,1
24430,26120,14,1,0,0,1,0,0,0,1
24800,22644,14,0,1,0,1,0,1,1,0
24885,10897,15,1,0,0,1,0,1,1,0
24995,42878,13,0,1,0,1,0,0,1,0
24995,24950,14,0,1,0,1,0,0,1,0
25432,33834,13,0,1,0,1,0,0,0,1
26495,34045,13,0,1,0,1,0,0,1,0
26800,11308,15,0,1,0,1,0,0,1,0
26999,28010,14,0,1,0,1,0,0,0,1
27990,14662,15,0,1,0,1,0,1,1,0
5295,128710,1,1,0,0,0,1,0,1,0
5988,184668,7,0,0,1,1,0,0,1,0
5991,120515,3,0,0,1,0,0,0,0,0
5992,100393,3,0,0,1,0,1,0,1,0
6995,99260,0,1,0,0,0,0,0,0,0
7488,117359,3,1,0,0,0,0,0,1,0
7981,89178,6,0,0,1,0,1,0,1,0
7987,111403,4,1,0,0,0,0,0,1,0
7993,87161,4,1,0,0,0,1,0,0,0
7997,105801,3,1,0,0,0,1,0,1,0
8909,99527,6,0,0,1,0,0,0,1,0
8940,76250,6,0,0,1,0,0,0,1,0
8992,95148,6,1,0,0,0,1,0,0,0
9991,150333,6,1,0,0,1,0,0,0,0
9997,148407,8,0,1,0,1,0,0,0,0
10300,75129,6,0,0,0,0,0,0,0,0
10771,80858,6,0,0,1,1,0,0,1,0
10780,95326,6,0,0,0,0,1,0,0,0
10850,85578,5,1,0,0,0,0,0,1,0
10999,160767,6,0,0,0,1,0,0,0,0
11000,79446,6,0,0,0,0,0,0,0,0
11599,88885,7,0,0,0,0,0,0,0,0
11950,144702,9,0,1,0,1,0,0,0,0
11990,119587,9,0,0,1,0,0,0,1,0
11991,66517,7,1,0,0,0,0,0,0,0
11995,75589,7,0,0,0,0,0,0,0,0
12403,85480,6,1,0,0,0,0,0,0,0
12749,94449,10,0,0,1,1,0,0,1,0
13393,64560,9,0,0,1,0,0,0,1,0
13469,108407,12,1,0,0,1,0,0,0,0
13512,48165,9,0,0,1,0,0,0,1,0
13999,52940,8,0,1,0,1,0,0,1,0
14125,75859,8,1,0,0,0,0,0,1,0
14200,75380,8,0,1,0,0,0,0,1,0
14313,69319,8,0,1,0,0,0,0,1,0
14500,89704,11,0,0,1,1,0,0,1,0
14762,61004,8,0,1,0,0,0,0,1,0
14771,49509,10,0,0,1,0,0,0,1,0
14799,37125,10,0,0,1,1,0,0,1,0
14888,92513,11,0,1,0,1,0,0,1,0
14891,67503,8,0,1,0,0,1,0,1,0
14897,64751,9,0,1,0,0,1,0,1,0
14982,75851,8,0,1,0,0,1,0,0,0
14991,68055,8,1,0,0,0,0,0,0,0
14991,52125,8,1,0,0,0,0,0,0,0
14991,45776,9,1,0,0,0,0,0,0,0
14995,82001,6,0,0,0,0,0,0,0,0
14999,106627,12,0,0,0,1,0,0,0,0
15000,53077,9,1,0,0,0,0,0,1,0
15000,56774,8,0,1,0,0,1,0,1,0
15311,60129,9,0,1,0,0,0,0,1,0
15374,63744,9,1,0,0,0,0,0,0,0
15379,71103,8,0,1,0,0,0,0,0,0
15440,61379,7,0,0,0,0,0,0,0,0
15500,62372,9,0,1,0,0,0,0,1,0
15500,54757,9,0,1,0,0,0,0,1,0
15786,58119,10,1,0,0,0,0,0,1,0
15994,50081,8,0,1,0,0,0,0,0,0
15995,68357,8,0,1,0,0,0,0,1,0
16065,83347,13,0,0,1,1,0,1,0,1
16288,57832,10,0,0,1,0,0,0,1,0
16289,56186,10,1,0,0,0,0,0,1,0
16492,46169,10,1,0,0,0,0,0,1,0
16498,47904,11,1,0,0,0,1,0,1,0
16500,45723,11,0,0,1,0,0,0,1,0
16500,79811,8,0,1,0,0,0,0,1,0
16636,36856,8,0,0,1,0,0,0,1,0
16777,37857,12,0,0,1,0,0,0,1,0
16900,64209,8,1,0,0,0,0,0,1,0
16950,98294,11,0,1,0,1,0,0,1,0
16986,35527,12,0,0,0,0,1,0,1,0
16991,39629,12,0,0,0,0,0,0,0,0
16995,28177,12,0,0,1,0,0,0,1,0
16999,29169,12,1,0,0,0,0,0,0,0
17000,16972,12,0,0,1,0,1,0,1,0
17000,33848,12,0,0,0,0,0,0,0,0
17498,36742,12,0,0,1,0,0,1,1,0
17499,6378,12,0,1,0,0,0,0,1,0
17500,36845,12,0,0,0,0,0,0,0,0
17500,64415,8,1,0,0,0,0,0,1,0
17791,24143,12,1,0,0,0,0,1,1,0
17873,31402,12,0,0,1,0,0,0,1,0
17941,55940,10,0,1,0,0,0,0,1,0
17986,23568,12,0,0,1,0,1,1,0,0
17998,38127,12,1,0,0,0,1,0,1,0
17999,43716,11,0,1,0,0,0,0,1,0
17999,36215,12,0,1,0,0,0,0,1,0
18000,25737,12,0,0,1,0,0,0,1,0
18000,90714,13,0,1,0,1,0,0,1,0
18005,47139,10,0,1,0,0,1,0,1,0
18193,34318,12,0,0,0,0,0,1,0,0
18255,37211,12,1,0,0,0,0,0,1,0
18312,16679,11,0,0,1,0,0,0,1,0
18495,38016,11,0,1,0,0,0,0,1,0
18727,51161,10,0,1,0,0,0,0,1,0
18985,37120,11,1,0,0,0,0,1,1,0
18988,17942,12,0,0,0,0,0,1,1,0
18988,80297,14,1,0,0,1,0,0,0,1
18988,29943,12,0,0,0,0,0,1,0,0
18989,59451,13,1,0,0,1,0,1,1,0
18990,46380,13,1,0,0,1,0,0,1,0
18991,11514,13,0,0,1,0,0,0,1,0
18991,24285,13,0,0,1,0,0,0,1,0
18992,15643,14,0,0,1,0,0,0,1,0
18993,32401,12,1,0,0,0,1,0,1,0
18995,21355,12,0,0,0,0,0,0,0,0
18999,29165,13,1,0,0,0,0,0,0,1
19000,64530,12,0,1,0,1,0,0,1,0
19000,39209,12,1,0,0,0,0,0,1,0
19248,28899,13,0,0,1,0,0,1,0,1
19390,26066,13,0,0,1,0,0,0,0,1
19485,42923,10,1,0,0,0,0,0,1,0
19500,28669,13,0,0,1,0,1,1,0,1
19589,24314,13,0,0,1,0,0,0,1,0
19884,35000,12,0,1,0,0,0,0,1,0
19900,33664,14,1,0,0,1,0,0,1,0
19900,29277,13,0,0,1,0,0,1,0,1
19977,18496,14,0,0,1,0,0,0,1,0
19985,16885,13,0,0,1,0,0,1,1,0
19986,28075,12,0,1,0,0,1,0,1,0
19990,20712,13,0,0,1,0,0,0,0,1
19991,14050,13,0,0,1,0,0,1,1,0
19991,32959,12,0,0,0,0,0,1,1,0
19991,14050,13,0,0,1,0,0,1,1,0
19991,44004,11,0,1,0,0,0,1,1,0
19995,39368,12,0,1,0,0,0,0,1,0
19997,29087,13,0,0,1,0,0,1,1,0
19999,22118,13,1,0,0,0,0,0,0,1
20000,36512,14,1,0,0,1,0,0,1,0
20000,18010,12,1,0,0,0,0,0,1,0
20000,25214,13,0,0,1,0,0,1,0,1
20000,19357,14,0,0,1,0,0,0,1,0
20000,31951,12,0,1,0,0,1,0,1,0
20000,14515,14,0,0,1,0,0,0,1,0
20195,29168,13,0,0,1,0,0,1,1,0
20267,21911,13,1,0,0,0,0,1,0,1
20275,15255,13,0,0,1,0,0,0,0,1
20350,35832,12,0,1,0,0,0,1,1,0
20412,18665,15,0,0,1,1,0,0,0,1
20478,26032,13,0,0,1,0,1,0,0,1
20492,26368,13,1,0,0,0,0,1,1,0
20500,39008,12,0,1,0,0,0,1,1,0
20500,25784,13,0,0,1,0,0,0,0,1
20500,37375,12,0,1,0,0,0,1,1,0
20500,35930,12,0,1,0,0,0,1,0,0
20507,14319,13,1,0,0,0,0,0,0,1
20707,45531,13,1,0,0,1,0,1,0,1
20762,18095,13,1,0,0,0,0,1,0,1
20790,7949,15,0,0,1,0,0,0,1,0
20791,23663,13,1,0,0,0,0,0,1,0
20874,29868,13,1,0,0,0,0,0,1,0
20887,27449,13,1,0,0,0,0,1,1,0
20888,25736,13,0,0,1,0,0,1,0,1
20900,28799,12,0,1,0,0,0,1,1,0
20911,18771,13,0,0,1,0,0,0,0,1
20929,24531,13,1,0,0,0,0,0,0,1
20945,28849,13,0,1,0,0,0,0,1,0
20955,20055,13,1,0,0,0,0,1,0,1
20960,45829,9,0,1,0,0,0,0,0,0
20961,18060,14,0,0,1,0,1,1,0,1
20977,46773,13,0,0,1,1,0,0,0,1
20979,28091,13,1,0,0,0,0,1,1,0
20980,14312,14,0,0,1,0,0,0,1,0
20981,29175,13,1,0,0,0,0,1,1,0
20985,18197,14,0,0,1,0,0,0,1,0
20988,30360,12,1,0,0,0,0,0,1,0
20991,21243,11,1,0,0,0,0,0,1,0
20991,15939,13,0,0,1,0,0,1,0,1
20994,22984,13,1,0,0,0,0,0,1,0
21000,60939,8,0,1,0,0,0,0,0,0
21000,28788,12,0,1,0,0,0,1,1,0
21000,38769,12,0,1,0,0,0,0,1,0
21000,16468,13,1,0,0,0,0,1,0,1
21000,26361,13,0,0,1,0,0,0,0,1
21024,14483,14,0,0,1,0,0,0,1,0
21055,18011,13,1,0,0,0,0,0,0,1
21191,26167,13,0,0,1,0,0,1,0,1
21217,35773,12,0,1,0,0,0,0,1,0
21278,34247,11,0,1,0,0,1,0,1,0
21467,24493,13,1,0,0,0,1,1,1,0
21469,17548,12,0,1,0,0,0,0,0,0
21490,15460,14,0,0,1,0,1,1,0,1
21494,24958,13,1,0,0,0,0,1,1,0
21495,25223,13,1,0,0,0,0,1,0,1
21499,13047,14,0,1,0,0,0,0,1,0
21500,16195,13,1,0,0,0,0,1,1,0
21500,10766,14,0,0,1,0,0,1,1,0
21500,14304,13,1,0,0,0,0,0,0,1
21500,26068,13,1,0,0,0,0,0,0,1
21524,28104,12,0,1,0,0,0,1,1,0
21550,25080,13,1,0,0,0,0,0,0,1
21559,23643,13,1,0,0,0,0,1,0,1
21559,26921,13,1,0,0,0,0,1,0,1
21577,22996,13,1,0,0,0,0,1,1,0
21595,21559,13,1,0,0,0,0,0,1,0
21615,21817,13,1,0,0,0,0,1,1,0
21635,18963,13,1,0,0,0,0,1,1,0
21635,46870,13,1,0,0,1,0,0,0,1
21688,33387,14,0,0,1,1,0,0,0,1
21788,51312,10,1,0,0,0,0,0,0,0
21800,27100,13,1,0,0,0,0,1,0,1
21800,28624,13,1,0,0,0,0,1,0,1
21844,18216,14,1,0,0,0,0,0,1,0
21885,29743,13,0,1,0,0,0,0,1,0
21893,16002,14,0,0,1,0,1,0,1,0
21950,26789,13,1,0,0,0,0,0,0,1
21960,12859,13,1,0,0,0,0,1,1,0
21961,21795,13,1,0,0,0,0,0,0,1
21988,9852,15,0,0,1,0,1,1,1,0
21988,18074,13,1,0,0,0,0,1,1,0
21988,4080,15,0,0,1,0,0,0,1,0
21988,26210,13,1,0,0,0,1,1,1,0
21989,25779,13,1,0,0,0,0,1,0,1
21991,15941,14,0,0,1,0,0,0,1,0
21991,29760,12,0,1,0,0,0,0,1,0
21991,26814,13,0,1,0,0,1,1,1,0
21991,19007,14,0,0,1,0,0,1,1,0
21994,20621,13,1,0,0,1,0,0,0,1
21995,27705,13,0,0,1,0,1,0,1,0
21995,47117,13,0,1,0,1,0,0,1,0
21995,17503,13,0,1,0,1,0,0,1,0
21996,5783,15,0,0,1,0,0,0,0,1
21997,27166,11,0,1,0,0,0,0,1,0
,,,,,,,,,,
,,0,,,,,,,,